status,k,beta,se,t,p,nobs,firms,shock,treatment,outcome,span,check
ok,-3,-0.020171117279329614,0.007959586012282,-2.534191759245352,0.011272890390625179,83153,13963,NATGAS_1990,pre_energy_share_z,n_op_seg,5,event_study
ok,-2,-0.003833418825788249,0.006226399536297867,-0.6156718346519002,0.5381131557237022,83153,13963,NATGAS_1990,pre_energy_share_z,n_op_seg,5,event_study
ok,0,0.0009060964702490325,0.005308362652634072,0.17069226982813934,0.8644662406693999,83153,13963,NATGAS_1990,pre_energy_share_z,n_op_seg,5,event_study
ok,1,0.010022090540852721,0.007087036708836118,1.4141440142898059,0.15732412310269583,83153,13963,NATGAS_1990,pre_energy_share_z,n_op_seg,5,event_study
ok,2,0.009590449820459715,0.008448647831909753,1.135146121754239,0.2563180330843364,83153,13963,NATGAS_1990,pre_energy_share_z,n_op_seg,5,event_study
ok,3,0.017608665455681016,0.009948740069892792,1.7699392417507163,0.07674166735794197,83153,13963,NATGAS_1990,pre_energy_share_z,n_op_seg,5,event_study
ok,4,0.02285419850616535,0.010645146198629767,2.1469126003273793,0.03180370614236461,83153,13963,NATGAS_1990,pre_energy_share_z,n_op_seg,5,event_study
ok,5,0.034741698529825275,0.011855481306009222,2.930433411608152,0.0033860016736859677,83153,13963,NATGAS_1990,pre_energy_share_z,n_op_seg,5,event_study
ok,-5,-0.021420590272735195,0.008874211863942362,-2.4138019917882727,0.01578944961077311,88287,14222,FERC636_1992,pre_energy_share_z,n_op_seg,5,event_study
ok,-4,-0.008630708118232671,0.007818008095585817,-1.103952312751597,0.26961741195677424,88287,14222,FERC636_1992,pre_energy_share_z,n_op_seg,5,event_study
ok,-3,-0.0017970052869276947,0.006471313097100438,-0.2776878911534767,0.7812527319172591,88287,14222,FERC636_1992,pre_energy_share_z,n_op_seg,5,event_study
ok,-2,-0.0028927633908284816,0.004554514084394966,-0.6351420452820411,0.5253377398872034,88287,14222,FERC636_1992,pre_energy_share_z,n_op_seg,5,event_study
ok,0,0.0037477763632998884,0.004089556200546009,0.9164261791535012,0.3594463943726194,88287,14222,FERC636_1992,pre_energy_share_z,n_op_seg,5,event_study
ok,1,0.011813962917402061,0.006364625087205939,1.8561914889771416,0.0634302385199843,88287,14222,FERC636_1992,pre_energy_share_z,n_op_seg,5,event_study
ok,2,0.01938512326058283,0.007552515434166412,2.566710843500899,0.010268765604703134,88287,14222,FERC636_1992,pre_energy_share_z,n_op_seg,5,event_study
ok,3,0.028988382111676682,0.009225387798337323,3.1422399518967876,0.0016772664378210678,88287,14222,FERC636_1992,pre_energy_share_z,n_op_seg,5,event_study
ok,4,0.026901442301065285,0.010076811229695327,2.669638409201266,0.007594953525412063,88287,14222,FERC636_1992,pre_energy_share_z,n_op_seg,5,event_study
