status,beta,se,t,p,nobs,firms,t_std,t_p25,t_p75,shock,treatment,outcome,dropped_k,span,check
ok,0.00955308192718933,0.0024196050945687734,3.948198798486948,7.884947199365833e-05,56433,6573,1.0054284369112723,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,1,5,leave_one_relative_year
ok,0.009630898980263416,0.0023367895841748653,4.121423274686559,3.771430073440385e-05,56763,6575,1.0052921627047182,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,2,5,leave_one_relative_year
ok,0.009020394021701881,0.002252137929212175,4.005258250260598,6.203841474139438e-05,57060,6574,1.005360293019285,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,3,5,leave_one_relative_year
ok,0.008768485740785753,0.0022496141236636596,3.8977732441089223,9.720583773109581e-05,57369,6575,1.0052921627047182,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,4,5,leave_one_relative_year
ok,0.008173488340150713,0.002295750652619345,3.5602683291520103,0.0003708121862118219,57688,6573,1.0054284369112723,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,5,5,leave_one_relative_year
ok,0.0358482027496352,0.009081746257120844,3.947280813040469,7.916078843051011e-05,52480,6273,0.9354384618761197,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,-5,5,leave_one_relative_year
ok,0.03562252848930176,0.009265586173179447,3.8446060317712245,0.00012090947929577212,52066,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,-4,5,leave_one_relative_year
ok,0.03879670638463048,0.009394934100723886,4.129534701221711,3.641491913275452e-05,51574,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,-3,5,leave_one_relative_year
ok,0.03779344872547398,0.010006757037659996,3.7767928793754035,0.00015906595649228805,51078,6273,0.9352104912603855,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,-2,5,leave_one_relative_year
ok,0.0407070971625637,0.011061224377993261,3.6801619577984575,0.00023338569541375698,46276,5453,0.955075322542568,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,-1,5,leave_one_relative_year
